Project,IssueID,URL,Title,Status,CreatedAt,BugType ,StackLayer,CTClass,subtype,DUB,reason Bug,reason Stack,reason Class
NVIDIA/cuda-quantum,3433,https://github.com/NVIDIA/cuda-quantum/issues/3433,Can not pip install cudaq on Ubuntu 22.04,open,2025-09-10T22:11:20Z,Build-/Install-/Packaging-Bug,Build/Deploy/Environment ,B ,B1,,The PyPI cudaq source distributions are published with broken package metadata where the project name is reported as unknown ,The problem lives in the build pipeline for Python (pyproject),A packaging linter or CI step that validates the built Wheel metadata could detect this mismatch deterministically before Publishing. Fits  B1
NVIDIA/cuda-quantum,2937,https://github.com/NVIDIA/cuda-quantum/issues/2937,Wrong simulation result with the tensornet/tensornet-mps target,closed,2025-05-21T06:22:52Z,Performance-/Numerik-Bug ,Backend-Library ,C,,,"For this specific highly structured 20-qubit circuit, the tensornet and tensornet-mps targets return a sample distribution that only contains 8 bitstrings instead of the 16 bitstrings ",The issue is confined to the tensor-network simulation backend. It is located in the Cuda-Q backend library. ,It is a numerical or algorithmic error in the backend logic. Therefore it cannot be detected at compile time.
NVIDIA/cuda-quantum,2641,https://github.com/NVIDIA/cuda-quantum/issues/2641,Testing regression introduced with python/tests/kernel/test_explicit_measurements.py,closed,2025-02-20T18:10:53Z,Build-/Install-/Packaging-Bug,Build/Deploy/Environment,B ,B1,,A change introduced in PR #2567 broke the Python test python/tests/kernel/test_explicit_measurements.py,The problem is the test harness and its target discovery logic that are incorrect for partial builds. Cuda-Q Kernel seem fine,"This is a configuration problem, which could be solved with a configuration check. Skipping the config could help. Fits B1 "
NVIDIA/cuda-quantum,2628,https://github.com/NVIDIA/cuda-quantum/issues/2628,using cudaq.State and mqpu backend to run two independent circuit gives error,open,2025-02-17T20:35:00Z,Backend-/Framework-Integrations-Bug,Runtime-Framework-Runtime,C,,,"When the user prepares two cudaq.State objects from CuPy data and runs the same kernel on the nvidia target with option=""mqpu"" using sample_async on qpu_id=0 and qpu_id=1, the program aborts with ubackend::RuntimeError: cudaErrorIllegalAddress",The issue is rooted in the CUDA-Q backend. This points to abug in backend library. ,Illegal device address at runtime is low level memory management. 
NVIDIA/cuda-quantum,2627,https://github.com/NVIDIA/cuda-quantum/issues/2627,List of list in kernel argument gives error,open,2025-02-17T16:38:51Z,API-/Usage-/Logic-Bug (High-Level) ,High-Level-API / Framework-Logic ,A,,1809,"When the kernel is declared with a nested Python type annotation and called with a list-of-lists argument, CUDA-Q fails at runtime with RuntimeError","The problem resides in the high-level Python language binding and its type-mapping layer. Kernel call uses  Python syntax, but Cuda-Q does not support this.",We could use a expressive static type checker for rejecting unsupported nested container types. This could be done at compile time.
NVIDIA/cuda-quantum,2625,https://github.com/NVIDIA/cuda-quantum/issues/2625,[Python][MLIR?] Loop miscompilation,closed,2025-02-17T15:45:17Z,API-/Usage-/Logic-Bug (High-Level) ,Backend-Library ,B ,B2,,Compiling the bar kernel crashes with an LLVM/MLIR assertion. ,The problem is in the Cuda-Q compiler / MLIR backend. ,"A robust IR verifier running after control flow transformation could detected that mlir::value with no attached result is being treated as an OpResult. This requieres IR level validation. Not simple compile time check, so B2"
NVIDIA/cuda-quantum,2608,https://github.com/NVIDIA/cuda-quantum/issues/2608,The bridge failing to deal with captured globals.,open,2025-02-11T12:18:59Z,API-/Usage-/Logic-Bug (High-Level),Framework-Integration,B ,B2,,The Python Q bridge records it in the symbol table as !cc.ptr<f64> instead of plain f64,The problem lies in the framework integration layer. ,Could possibly be resolved with data flow manager with capturied symbols to verify statically the globals used as scalar parameters. Fits B2 
NVIDIA/cuda-quantum,2600,https://github.com/NVIDIA/cuda-quantum/issues/2600,Return list[complex] fails when returning list[float],closed,2025-02-07T15:17:46Z,API-/Usage-/Logic-Bug (High-Level) ,High-Level-API / Framework-Logic ,A,,,error: type of return operand 0 ('!cc.stdvec<f64>') doesn't match function result type ('!cc.stdvec<complex<f64>>') in function @__nvqpp__mlirgen__myop,"Usere code is syntactivally valid, but the bridge does not reconcile the list annoation with a float-valued list literal.", more advanced static type checker could be used for the front-end. It could detect return expression has ceratin type. Match this class A
NVIDIA/cuda-quantum,2593,https://github.com/NVIDIA/cuda-quantum/issues/2593,cannot use @cudaq.kernel in the interpreter: OSError: could not get source code,open,2025-02-06T16:42:27Z,API-/Usage-/Logic-Bug (High-Level),High-Level-API / Framework-Logic ,C,,,"When the user types the @cudaq.kernel example from the official VQE tutorial directly into an interactive Python interpreter, the decorator fails",The failure occurs entirely in the high-level Python API. No backend simulation or procedure is involved.,Bug seems to be limited at at specific interpreter environment and is bound to Python semantics. How to rule out this at compile time? Class C
NVIDIA/cuda-quantum,2575,https://github.com/NVIDIA/cuda-quantum/issues/2575,custom gate register_operation doesn't seem to work if it is invoked in one kernel which is nested in another.,open,2025-02-02T19:37:34Z,API-/Usage-/Logic-Bug (High-Level) ,Framework-Integration ,C,,,"A custom matrix gate registered via cudaq.register_operation(""my_gate"", my_matrix) can be called in a kernel, but calling it through a nested kernel is ignored",It seems like the problem is in the Python Framework integration that connects custom registered operations into kernel call graphs.,"Hard to impossible to validate, because detecting requieres reasoning which is not simply checked at compile time. Fits C "
